"id";"qid";"lang";"source";"Remarks";"Dclt"
1;1;"C#";"public class Solution {
    public int[] ConstructArr(int[] a) {
 
    }
}";"";"2020-03-25 15:17:52"
2;1;"Java";"class Solution {
    public int[] constructArr(int[] a) {
 
    }
}";"";"2020-03-25 15:17:52"
3;1;"Rust";"impl Solution {
    pub fn construct_arr(a: Vec<i32>) -> Vec<i32> {
 
    }
}";"";"2020-03-25 15:17:52"
4;1;"C";"/**
 * Note: The returned array must be malloced, 
assume caller calls free().
 */
int* constructArr(int* a, int aSize, int* 
returnSize){
 
}";"";"2020-03-25 15:17:52"
5;1;"Scala";"object Solution {
    def constructArr(a: Array[Int]): Array[Int] = {
 
    }
}";"";"2020-03-25 15:17:52"
6;1;"Go";"func constructArr(a []int) []int {
 
}";"";"2020-03-25 15:17:52"
7;1;"Kotlin";"class Solution {
    fun constructArr(a: IntArray): IntArray {
 
    }
}";"";"2020-03-25 15:17:52"
8;1;"Python3";"class Solution:
    def constructArr(self, a: List[int]) -> List
[int]:";"";"2020-03-25 15:17:52"
9;1;"JavaScript";"/**
 * @param {number[]} a
 * @return {number[]}
 */
var constructArr = function(a) {
 
};";"";"2020-03-25 15:17:52"
10;1;"PHP";"class Solution {";"";"2020-03-25 15:17:52"
11;1;"Swift";"class Solution {
    func constructArr(_ a: [Int]) -> [Int] {
 
    }
}";"";"2020-03-25 15:17:52"
12;1;"Ruby";"# @param {Integer[]} a
# @return {Integer[]}
def construct_arr(a)
 
end";"";"2020-03-25 15:17:52"
13;1;"Python";"class Solution(object):
    def constructArr(self, a):
        """"""
        :type a: List[int]
        :rtype: List[int]
        """"""";"";"2020-03-25 15:17:52"
14;2;"C#";"public class MinStack {
 
    /** initialize your data structure here. */
    public MinStack() {
 
    }
    
    public void Push(int x) {
 
    }
    
    public void Pop() {
 
    }
    
    public int Top() {
 
    }
    
    public int Min() {
 
    }
}
 
/**
 * Your MinStack object will be instantiated and ";"";"2020-03-25 15:17:52"
15;2;"Java";"class MinStack {
 
    /** initialize your data structure here. */
    public MinStack() {
 
    }
    
    public void push(int x) {
 
    }
    
    public void pop() {
 
    }
    
    public int top() {
 
    }
    
    public int min() {
 
    }
}
 
/**
 * Your MinStack object will be instantiated and ";"";"2020-03-25 15:17:52"
16;2;"C";"typedef struct {
 
} MinStack;
 
/** initialize your data structure here. */
 
MinStack* minStackCreate() {
 
}
 
void minStackPush(MinStack* obj, int x) {
 
}
 
void minStackPop(MinStack* obj) {
 
}
 
int minStackTop(MinStack* obj) {
 
}
 
int minStackMin(MinStack* obj) {
 
}
 ";"";"2020-03-25 15:17:52"
17;2;"Rust";"struct MinStack {
 
}
 
 
/**
 * `&self` means the method takes an immutable 
reference.
 * If you need a mutable reference, change it to `&
mut self` instead.
 */
impl MinStack {
 
    /** initialize your data structure here. */
    fn new() -> Self {
 
    }
    
    fn push(&self, x: i32) {
 
    }
    
    fn pop(&self) {
 
    }
    ";"";"2020-03-25 15:17:52"
18;2;"Scala";"class MinStack() {
 
    /** initialize your data structure here. */
 
 
    def push(x: Int) {
 
    }
 
    def pop() {
 
    }
 
    def top(): Int = {
 
    }
 
    def min(): Int = {
 
    }
 
}
 
/**
 * Your MinStack object will be instantiated and 
called as such:";"";"2020-03-25 15:17:52"
